DateTime,Open,High,Low,Close,Tick Volume,Real Volume
2025.03.06 12:00,1.07992,1.0807099999999998,1.078815,1.080015,14303,0
2025.03.06 13:00,1.080015,1.08456,1.079095,1.082605,40345,0
2025.03.06 14:00,1.082605,1.08413,1.08113,1.08371,46542,0
2025.03.06 15:00,1.08371,1.085395,1.08114,1.081715,36380,0
2025.03.06 16:00,1.081715,1.0838299999999998,1.081525,1.08175,30277,0
2025.03.06 17:00,1.08175,1.08223,1.0791499999999998,1.07971,24561,0
2025.03.06 18:00,1.07971,1.080185,1.076565,1.07837,18012,0
2025.03.06 19:00,1.07837,1.0811600000000001,1.0782699999999998,1.0801699999999999,14786,0
2025.03.06 20:00,1.0801699999999999,1.08034,1.07855,1.078675,11087,0
2025.03.06 21:00,1.078675,1.0790600000000001,1.0775000000000001,1.07856,6896,0
2025.03.06 22:00,1.07856,1.0793949999999999,1.07825,1.0791849999999998,1935,0
2025.03.06 23:00,1.0791849999999998,1.0796350000000001,1.07846,1.078745,2889,0
2025.03.07 00:00,1.078745,1.079545,1.07869,1.07876,6895,0
2025.03.07 01:00,1.07876,1.079285,1.078115,1.0791149999999998,9872,0
2025.03.07 02:00,1.0791149999999998,1.07995,1.078465,1.07993,8673,0
2025.03.07 03:00,1.07993,1.0814650000000001,1.0796299999999999,1.080575,7295,0
2025.03.07 04:00,1.080575,1.0813199999999998,1.08029,1.0813000000000001,5290,0
2025.03.07 05:00,1.0813000000000001,1.0817700000000001,1.0807600000000002,1.08134,6792,0
2025.03.07 06:00,1.08134,1.082525,1.080805,1.082355,10202,0
2025.03.07 07:00,1.082355,1.0840800000000002,1.08201,1.08298,17448,0
2025.03.07 08:00,1.08298,1.085525,1.082625,1.0850749999999998,19381,0
2025.03.07 09:00,1.0850749999999998,1.0871399999999998,1.08446,1.086145,18997,0
2025.03.07 10:00,1.086145,1.0867049999999998,1.085745,1.0860750000000001,14882,0
2025.03.07 11:00,1.0860750000000001,1.0860750000000001,1.08445,1.08494,13695,0
2025.03.07 12:00,1.08494,1.085715,1.084125,1.08552,17246,0
2025.03.07 13:00,1.08552,1.08888,1.08429,1.08445,45826,0
2025.03.07 14:00,1.08445,1.0882,1.0844200000000002,1.085375,39198,0
2025.03.07 15:00,1.085375,1.08873,1.08354,1.087005,36434,0
2025.03.07 16:00,1.087005,1.087285,1.08375,1.085865,22971,0
2025.03.07 17:00,1.085865,1.0864349999999998,1.08319,1.08433,23712,0
2025.03.07 18:00,1.08433,1.084455,1.082565,1.084,16803,0
2025.03.07 19:00,1.084,1.084415,1.0833300000000001,1.08426,11913,0
2025.03.07 20:00,1.08426,1.084915,1.0840049999999999,1.084735,6818,0
2025.03.07 21:00,1.084735,1.0851250000000001,1.0830799999999998,1.08333,4377,0
2025.03.09 19:00,1.08333,1.083645,1.0833149999999998,1.083575,5,0
2025.03.09 20:00,1.083575,1.083615,1.0832,1.083475,12,0
